zh,en
白雪皑皑的冬天,The white blanket of winter.
占领结束了... ...,"""The occupation is ended..."
法国人走了！,the French have gone!
我们自由了！,"We are free!"""
历史上，蓬特雷西纳从未举行过如此盛大的舞会,...and never in the memory of Pontresina was there such a carnival ball so gay... so happy...
所有人欢聚一堂，把酒言欢，热闹非凡,so carefree...
西莉亚！,"""Ciglia!"""
请揭面！,"""Unmask!"""
马赫屈...,"""Marcus..."
... 我想回家了,"I want to go home."""
马赫屈... ... 你现在不太清醒！,"""Marcus... you are out of your senses!"""
我爱你... ...,"""I love you..."
我爱你爱的死去活来！,"I love you madly!"""
亲爱的马赫屈：,My beloved Marcus:
就让昨晚发生的事,Let the memory of last night be wiped out of our minds.
从我们的记忆中抹去吧 我对你的爱从未改变,My love is unchanged.
我会一直等着你 西莉亚,I am waiting for you. Ciglia.
马赫屈到了的话 你会同意我们结婚吗？,"""When Marcus comes, will you give your consent to our marriage?"""
西莉亚，只要你能幸福 我可以放下我的偏见——,"""If it means your happiness, Ciglia, I will set my doubts aside..."""
我这就告诉塔斯神父你要见他,"""I'll tell Father Tass you want to see him."""
你不再爱我了吗？,"""Don't you love me any more?"""
叔叔已经同意了！,"""Uncle has consented at last!"
很快我们就是夫妻了！,"Soon we'll be husband and wife!"""
想想看，马赫屈—— 再也没有什么事情能够威胁我们的幸福了！,"""Think, Marcus... nothing can ever threaten our happiness again!"
你有事瞒着我 告诉我是什么事...,"""You are keeping something from me."
... 快告诉我！,"Tell me what it is... tell me!"""
我已经找过塔斯神父了 我把所有事都告诉他了！,"""I've been to Father Tass. I've told him everything!"""
你必须娶了她！,"""...and you've got to marry her!"""
可我们彼此相爱！,"""We love each other!"
怎么可能形同陌路般度过一生？,"How can we go through life apart?"""
这可不是啥幸福的婚姻... ...,"""This isn't a very happy marriage..."""
他放荡惯了，这是他罪有应得！,"""Serves him right! He was always wild."
只是我为西莉亚感到伤心,"But I'm sorry for Ciglia."""
她不会一直消沉下去的 现在洛伦兹·格鲁伯每天都来看望她,"""She won't grieve forever Not with Lorenz Gruber coming to see her every day."""
马赫屈·帕勒特昂 你愿意娶这位女士为妻 并且对她忠诚一生吗,"""Do you, Marcus Paltram, promise to take this woman to be faithful to her only..."""
请给我一些时间，洛伦兹,"""Give me time, Lorenz..."""
上帝啊，请帮帮我，让我忘记他吧！,"""Help me, O Lord, that I may forget him!"""
西莉亚，你愿意嫁给这位男士,"""... Ciglia, do you promise to love your husband until death do you part... to be faithful to him in deed... and in thought..."""
我... ... 愿意,"""I... do."""
西莉亚现在还想他吗？,"""Does Ciglia ever think of him now?"""
我是因为幸福而笑！,"""I laugh for happiness!"
全瑞士最贤惠漂亮的姑娘现在是我的妻子啦！,"The best and prettiest girl in all Switzerland is mine!"""
马赫屈还没从山上回来！,"""Marcus hasn't come home from the mountains!"
我们得派人去救他！,"We must gather a rescue party!"""
马赫屈在山上迷路了... ...,"""Marcus is lost in the mountains..."""
你不能眼睁睁地看他冻死在山上！,"""You can't sit here and let him die!"
做些什么吧！,"Do something!"""
没门！,"""No, I say!"
我不会帮忙的，让他死好了！,"I'll not lift a hand! Let him die!"""
感谢上天...,"""I thank Thee..."
... 感谢您救了他,"that Thou didst save him."""
请你离开蓬特雷西纳吧，马赫屈 还我和西莉亚一个清净,"""... Move away from Pontresina, Marcus. Leave me in peace with Ciglia."""
只要你肯搬走 想要什么我都给你,"""I'll give you everything I own if you'll go..."""
我知道你为什么不拿他的钱了！,"""I know why you wouldn't take his money!"
你心里还喜欢那个谁... ...,"You're still in love with that..."""
你去死吧！,"""Now you die!"
我就能... ... 过上清净日子了！,"And I live... in peace!"""
你以为我不敢杀你吗！,"""I could kill you!"
但为了西莉亚...,But I won't...
... 我不会动手的,"because of Ciglia."""
他从山上摔下去了 枪掉在了原地,"""...his gun was where he fell, but he disappeared I looked for him..."
我试着去找他但没有找到,"and couldn't find him."""
我们必须找到他，马赫屈！,"""We must find him, Marcus!"""
西莉亚... ...,"""Cigl..."""
凶手！,"""Murderer!"""
马赫屈是无辜的！,"""Marcus is innocent!"
我清楚他的为人！,"I know he is!"""
她才是罪魁祸首！,"""She's the guilty one!"
都是她在暗中指使！,"She made him do it!"""
他们跑了！,"""They've gotten away!"
到山上去！,"To the mountains!"""
别管我了，马赫屈...,"""Leave me, Marcus..."
... 快点走吧！,"save yourself!"""
我们只能坐以待毙了吗？,"""What can we do now?"""
上帝啊，您知道我们是无辜的...,"""O Lord, Thou knowest our innocence..."
... 我们唯一的罪就是我们彼此相爱...,Thou knowest that love is our only sin...
... 恳求您大发慈悲救救我们吧... ...,"...have pity on us..."""
请不要再让我们分开了！,"""Don't separate us again!"
让我们... ... 让我们在一起吧...,Take us... take us together...
...,"unto Thyself..."""
永生永世...,"""Never to be parted again..."
... 不再分离！,"together through all eternity!"""
每一个吻都是幸福的海洋 I and in each every kiss there's an ocean of bliss j',Male chorus| I And in each every Kiss There's an ocean of bliss §
"""莎莉，你会回来吗?"" j"" Sally, won't you come back j""","J Sally, won't you come back ["
"""我们的巷子不一样了"" j"" for our alley's not the same j""",J For our alley's not the same [
"你可以拥有你的名声 j"" you can have your fame j""",You can have your fame I
"但我们追求的是你的阳光和你的笑声 j"" but what we're after is your sunshine and your laughter j""",J But what we're after Is your sunshine and your laughter
"回到我们的巷子里，莎莉。 j"" come back to our alley, Sally j""","Come back to our alley, Sally"
"J ""不要说不"" j"" don't say no j""",J Don't say no I
"一个漂亮的女孩 j"" a pretty girl j""",Aprettygirl
"就像一个旋律 j"" is like a melody j"" 日夜萦绕在你心头 j"" that haunts you night and noon j""",♪ Is like a melody I 4 That haunts you night and noon J!
"她会离开你，然后 j"" she will leave you and then j""",7 She will leave you and then J
"又回来了 j"" come back again j""",I Come back again
"就像一首漂亮的曲子 j"" is just like a pretty tune j""",I Is just like a pretty tune I
"不，不，不骗谁，你爱谁? J"" j"" no, no, no foolin' who, who do you love?","1 No, no, no foolin' ® Who, who do you love?"
"你在想谁? 没有傻瓜""j"" j"" who are you thinkin' of?",' Who are you thinkin' of?
"No foolin' j""",No foolin' ♪
"""什么时候接吻?""没有傻瓜""j"" j"" when it's time to kiss?",2 When it's time to kiss?
"我和汤姆，迪克，哈利在一起，不傻 j"" with some Tom or dick or Harry no foolin' j""",WithsomeTomorDick orHarry  No foolin' I
"带我去吧，但我们结婚后 j"" take me instead but after we're wed j"" ""不是傻瓜"" j"" no foolin' j""",I Take me instead But after we're wed I 3 Na foolin'
"不，不，不，你爱的是谁? J"" j"" no foolin', no foolin' who do you love?","4 No foolin', no foolin' Who do you love?"
"不，傻瓜，你爱的是谁? J"" J"" no foolin' who do you love? J""",No foolin® Who do you love?
"你在想谁? 没有傻瓜""j"" j"" who are you thinking of?",4 Who are you thinking of?
"和汤姆，迪克，或者哈利在一起 j"" with some Tom or dick or Harry j""",2 With some Tom or Dick or Harry
"别傻了，带我去吧 j"" no foolin' take me instead j""",I No foolin' Take me instead ♪
"但是在我们结婚之后，不要再傻了 j"" but after we're wed no foolin' j""",J But after we're wed No foolin'
嘿。,Hey.
"我想要一张娃娃脸。"" hey. I want ""baby face.""","I want ""Baby Face."""
"他想要""娃娃脸""。 He wants ""baby face.""","He wants ""Baby Face."""
我不怪他。 I don't blame him.,I don't blame him.
"J""娃娃脸J"" J"" baby face j""",I Baby face I
"你有一张最可爱的小娃娃脸 j"" you've got the cutest little baby face j""",I You've got the cutest Little baby face I
"没有人能取代你的位置 j"" there's not another one could take your place j""",I There's not another one Could take your place I
"嘿，这首歌是为你写的，孩子。 hey, this song was written for you, kid.","Hey, this song was written for you, kid."
嘘。,Shh.
不要告诉任何人。 这是一个秘密。 Shh.,Don't tell anybody.
Don't tell anybody. It's a secret.,It's a secret.
"天啊，这是婴儿脸 J"" god, it's something baby face j""","J God, it's something Baby face"
你是个聪明人。 you're a wise guy.,You're a wise guy.
哦，不! 我是小红帽!,"Oh, no!"
"Oh, no! I'm little red riding hood!",I'm Little Red Riding Hood!
"哦，你的牙齿好大啊! Oh, what big teeth you have!","Oh, what big teeth you have!"
"汪,汪 Woof, woof!","Woof, woof!"
"用你漂亮的娃娃脸 J"" with your pretty baby face j""",4 With your pretty baby face J
"嘿,两个。 hey, two.","Hey, two."
"哎呀,我已经死了。 Gee, I'm dead.","Gee, I'm dead."
我也一样。 So am I.,So am I.
格洛丽亚。 Gloria.,Gloria.
"哦，妈妈，你吓着我了。 Oh, mother, you frightened me.","Oh, Mother, you frightened me."
我的脚快不行了。 My feet are almost dead.,My feet are almost dead.
我还没完成一半呢! And I haven't half finished!,And I haven't half finished!
"哦，我很抱歉，妈妈。 Oh, I'm so sorry, mother.","Oh, I'm so sorry, Mother."
我得再多弄点钱。 I've got to have a little more money.,I've got to have a little more money.
"休斯太太,你好。 Hello, Mrs. Hughes.","Hello, Mrs. Hughes."
"芭芭拉,你好! 你好吗，小甜心?","Hello, Barbara!"
"Hello, Barbara! How are you, little sweetheart?","How are you, little sweetheart?"
"休斯太太,你好。 你今天感觉怎么样? Hello, Mrs.","Hello, Mrs. Hughes."
Hughes. How are you feeling today?,How are you feeling today?
"你好,朋友。 你好吗? 我很好,很好。","Hello, Buddy."
"Hello, buddy.",How are you?
"How are you? I'm fine, fine.","I'm fine, fine."
这就是我的全部。 That's all I have.,That's all I have.
这还不够。 That isn't half enough.,That isn't half enough.
"天啊，妈。 Aw, gee whiz, ma.","Aw, gee whiz, Ma."
"哎呀,什么都没有。 Gee whiz, nothing.","Gee whiz, nothing."
"年轻的女士，如果你没有，你就得去争取。 Young lady, if you haven't got it, you've got to get it.","Young lady, if you haven't got it, you've got to get it."
-我的脚... ——格洛丽亚。 格洛丽亚。,- My feet are all...
- My feet are all...,- Gloria.
- Gloria.,Gloria.
"给，我给你5美元，直到你发工资为止。 Here, I can spare this $5 until you get paid.","Here, I can spare this $5 until you get paid."
"伙计，你真是个可爱的好孩子。 非常感谢。 Aw, buddy, you're a dear, sweet boy.","Aw, Buddy, you're a dear, sweet boy."
Thanks so much.,Thanks so much.
"——再见,朋友。 再见，休斯太太。","- Goodbye, Buddy."
"- Goodbye, buddy. - Goodbye, Mrs. Hughes.","- Goodbye, Mrs. Hughes."
"回家见歌洛莉亚 See you at home, Gloria.","See you at home, Gloria."
"谢谢你,朋友。 我星期六还你。","Thanks, Buddy."
"Thanks, buddy. I'll pay you back Saturday.",I'll pay you back Saturday.
"没关系，歌洛莉亚。 That's all right, Gloria.","That's all right, Gloria."
记得我一直告诉你的... 我有什么都可以给你。 Remember what I always told ya...,Remember what I always fold ya... you can have anything I've got.
You can have anything I've got. 当然，我什么都没有，但是... ...,"Of course, I haven't got anything, but... you can have all of it."
谢谢。 Thanks.,Thanks.
"哦,朋友...","Oh, Buddy..."
You remember the dreams I used to have about the follies?,You remember the dreams I used to have about the Follies?
是的。 Yeah.,Yeah.
嗯... 我猜他们只是在做梦。,Well...
I guess they were only dreams.,I guess they were only dreams.
你为什么不再试着进去呢? Why don't you try to get in again?,Why don't you try to get in again?
我被赶出那里太多次了。 I've been thrown out of there too many times now.,I've been thrown out of there too many times now.
-第一次还行... -也许你是对的，孩子。 - The first time was all right...,-The first time was all right—
"- Maybe you're right about that, kid.","-Maybe you're right about that, kid."
-我不吃了。 -天啊，真倒霉。,- No more for me.
"- No more for me. - Gee, that's tough luck.","- Gee, that's tough luck."
看，孩子们。 我们又要去郊游了!,"Lookie, kids."
"Lookie, kids. We're gonna have another outing!",We're gonna have another outing!
——太棒了! 什么时候? 哇!,- That's swell!
- That's swell!,When is it?
When is it?,Gee!
Gee! - Great!,- Great!
"来吧,亲爱的。 我们偷偷去湖上吧，好吗?","Come on, dear."
"Come on, dear. Let's sneak away on the lake, shall we?","Let's sneak away on the lake, shall we?"
"是的,来吧。 Yeah, come on.","Yeah, come on."
你美丽的致敬让我热泪盈眶。 Your beautiful tribute has brought the tears to my eyes.,Your beautiful tribute has brought the tears to my eyes.
"一个幸福的大家庭。 One big, happy family.","One big, happy family."
我们手牵手，肩并肩，背靠背地站在这场伟大的战斗中! We stand hand -in,"We stand hand-in-hand, shoulder-to-shoulder, and back-to-back in this great fight!"
但让我们永远记住顾客永远是对的! But let us always remember the customer is always right!,But let us always remember the customer is always right!
"但无论对错，我们的国家需要我们! But right or wrong, our country needs us!","But right or wrong, our country needs us!"
嗯哼。 Mm -hmm.,Mm-hmm.
"哎呀，我不知道。 Gee, I don't know.","Gee, I don't know."
"当你像这样靠近我，你... 你简直让我火冒三丈。 When you're close to me like this, you...","When you're close to me like this, you..."
You just burn me up.,You just burn me up.
"我想我也有这种好笑的感觉，伙计。 I guess that's the same kind of funny feeling I get, buddy.","I guess that's the same kind of funny feeling I get, Buddy."
哇呼! 好友! Yoo,Yoo-hoo!
-hoo! Buddy!,Buddy!
"-如果我们能一直这样就好了。 ——嗯。 - If we could only be like this, always.","-If we could only be like this, always."
- Hmm.,Hmm.
-用独木舟? - -,- In a canoe?
- In a canoe? - Anywhere.,- Anywhere.
一个小公寓。,A little flat.
我每晚都会回到你身边 A little flat. And I'd come home to you every night.,And I'd come home to you every night.
-你会在那里等着... -哦，我会的，是吗? - And you'd be waiting there...,- And you'd be waiting there...
"- Oh, I would, would I?","- On, [ would, would 1?"
以前我整天呆在家里，等一个男人... ... 是啊，但很多女孩都喜欢，亲爱的。,"Any old time I stay at home all day, waiting for a man..."
"现在,朋友。 你又在看童话故事了。","Now, Buddy."
"Now, buddy. You've been reading your fairy tales again.",You've been reading your fairy tales again.
小公主等着她的白马王子。 And the little Princess waited for her little prince charming.,And the little princess waited for her little Prince Charming.
"不,亲爱的。 对小格洛丽亚来说不是。","No, darling."
"No, darling. Not for little Gloria.",Not for little Gloria.
"哦,老兄。 让我们唱你的新歌。","Oh, Buddy."
"Oh, buddy. Let's sing your new song.",Let's sing your new song.
怎么样? How does it go?,How does it go?
"-J ""当运气挑战你的时候"" -等等，等等，我知道。",-I When luck defies you I
"-J"" when luck defies you j"" -wait, wait, I know.","-Wait, wait, I know."
"当运气不眷顾你的时候 J"" when luck defies you j""",2 When luck defies you
"只要四处看看，我就会在那里 J"" just look around and I'll be there j""",1 Just look around And 1 be there §
"当你坠落的时候 j"" when you go falling j""",'When you go falling
"不要浪费你的时间打电话给 j"" don't waste your time in calling j""",' Don't waste your time In calling 7
"只要四处看看，我就会在那里 j"" just look around and I'll be there j""",1 Just look around And 1 be there §
——那是什么? -只有乐队。 我们关心什么?,"- ""What's that?"
"- What's that? - Oh, just the band.","- Oh, just the band."
What do we care?,What do we care?
"听着,这是热的。 我们回去跳舞吧。","Listen, that's hot."
"Listen, that's hot. Let's go back and dance.",Let's go back and dance.
"不，美女，这里太棒了。 No, gorgeous, it's swell here.","No, gorgeous, it's swell here."
"来吧，大男孩。 启动发动机。 Come on, big boy.","Come on, big boy."
Start the engine.,Start the engine.
"我跟你赌五分钱，我可以吻你而不碰你。 Say, I bet you a nickel I can kiss you without touching you.","Say, I bet you a nickel I can kiss you without touching you."
好的。 我打赌你。 All right.,All right.
I bet ya.,I bet ya.
"-聪明，你输了。 -我知道。 - Well, smarty, you lost.","- Well, smarty, you lost."
- I know it.,- Know it.
-我欠你五分钱。 ——朋友! 来吧，快点儿。,- I owe you a nickel.
- I owe you a nickel.,- Buddy!
"- Buddy! Come on, some speed.","Come on, some speed."
"女士们,先生们! Ladies and gentlemen!",Ladies and gentlemen!
法案的第一个演员是米勒和穆尼... 舞蹈团队。,The first act on the bill will be
The first act on the bill will be Miller and mooney... dancing team.,Miller and Mooney... dancing team.
到这里来。 说，我喜欢你。,Come here.
"Come here. Say, I like you.","Say, I like you."
"你到底是谁? Who are you, anyway?","Who are you, anyway?"
"我是女人，大自然最可爱的建筑之一。 I am woman, one of nature's loveliest pieces of architecture.","I am woman, one of nature's loveliest pieces of architecture."
"噢,是吗? 哇,太好了。","Oh, yeah?"
"Oh, yeah? Gee, that's great.","Gee, that's great."
我是建筑检查员。 I'm a building inspector.,I'm a building inspector.
一些女孩。 Some gal.,Some gal.
"你知道我怎么称呼我的女孩吗? -不，你叫你女朋友什么? - Say, do you know what I call my girl?","- Say, do you know what I call my girl?"
"- No, what do you call your girl?","- No, what do you call your girl?"
我叫我的女孩葡萄柚。 I call my girl grapefruit.,I call my girl Grapefruit.
你为什么叫你女朋友葡萄柚? Why do you call your girl grapefruit?,Why do you call your girl Grapefruit?
"因为每次我挤她，她就打我的眼睛。 'Cause every time I squeeze her, she hits me in the eye.","""Cause every time I squeeze her, she hits me in the eye."""
你真有趣。 You're so funny.,You're so funny.
"小心你的脚，大块头。 Hey, watch your feet, you big ham.","Hey, watch your feet, you big ham."
"把你的脸闭上，你的鼻子伸得太远了。 Ah, button up your face, your nose is out too far.","Ah, button up your face, your nose is out too far."
"小女孩，难怪你这么开心 J"" little girl no wonder you're so happy j""",7 Little girl No wonder you're so happy
"小男孩，难怪你这么gay j"" little boy no wonder you're so gay j""",I Little boy No wonder you're so gay J
"我们去划独木舟的时候，我们在咕咕叫 j"" billing and cooing while we go canoeing j""",4 Billing and cooing While we go canoeing
"绕着一小片海，我们走 j"" around a little sea we go j""",Arounda littleseawego
"拥抱，亲吻哦，你不知道你错过了什么 j"" hugging, kissing oh, you don't know what you're missing j""","I Hugging, kissing Oh, you don't know what you're missing"
"J"" 和你爱的人抱在一起的时候 j"" while spooning with the one you love j""",I While spooning With the one you love
"孩子们，这不是很好吗? J"" J"" boys, now ain't it nice?","1 Boys, now ain't it nice?"
"和你爱的人抱抱 j"" spooning with the one you love j""",I Spooning with the one you love J
你想干涉我的事吗? what's the idea of butting in on my bow?,What's the idea of butting in on my bow?
你的弓吗?,Your bow?
"嘿，笨蛋，我总是和你结束，不是吗? Your bow? Hey, bozo, I always finish with you, don't I?","Hey, bozo, I always finish with you, don't I?"
"在我看来，你已经彻底完蛋了。 As far as I'm concerned, you're finished to a t.","As far as I'm concerned, you're finished to a T."
我很喜欢那个收尾动作。 That finish routine makes a big hit with me.,That finish routine makes a big hit with me.
"在嫁给你之前，我相处得很好。 Well, I got along a darn fine better before I married you.","Well, I got along a darn fine better before I married you."
"听着，美女，我只是在跟你开玩笑。 Listen, belle, I was only kidding you.","Listen, Belle, ( was only kidding you."
"你没把我的话当回事吧，孩子? You didn't take me seriously, did you, kid?","You didn't take me seriously, did you, kid?"
"喂，我不是那个意思。 Say, I didn't mean that.","Say, I didn't mean that."
"这次原谅我，好吗? 就这一次，亲爱的。 Forgive me this time, will ya?","Forgive me this time, will ya?"
"Just this time, honey.","Just this time, honey."
"-哦,不。 - -","- Oh, na."
"-来吧。 - Oh, no. - Come on.",- Come on.
"我们得继续。 是的,我们做的。",We gotta go on.
"We gotta go on. Yeah, we do.","Yeah, we do."
"好啊,格洛丽亚。 Attagirl, Gloria.","Attagirl, Gloria."
"来吧,格洛丽亚。 来吧! Come on, Gloria.","Come on, Gloria."
Come on!,Come on!
"说,孩子。 Say there, kid.","Say there, kid."
你是个可爱的舞者。 You're some cute dancer.,You're some cute dancer.
你真的这么认为吗? You really think so?,You really think so?
我应该这么说。 我在哪里可以联系到你?,I should say so.
I should say so. Where can I get in touch with you?,Where can I get in touch with you?
说... 哦，别担心，伙计。,Say...
"严格的业务。 Say... Oh, don't worry, buddy.","Oh, don't worry, buddy."
Strictly business.,Strictly business.
"好吧,我... ... 我是格洛里亚休斯。","Well, I..."
"Well, I... I'm Gloria Hughes.",I'm Gloria Hughes.
我在海默唱片公司的歌曲部工作。 And I work in the song department at heimer's.,And I work in the song department at Helmer's.
"我想去看看你。 Say, I'd like to look you up.","Say, I'd like to look you up."
你介意! 给你看看我的新舞步? You mind if!,You mind if I show you some of my new dance steps?
"Show you some of my new dance steps? 不，我很喜欢。 No, I'd love it.","No, I'd love it."
"-你还好吗，桑尼? -我不叫桑尼。 - Okay with you, Sonny?","- Okay with you, sonny?"
- My name isn't Sonny.,- My name isn't sonny.
"我可没让你爬到我膝盖上。 Say, I didn't ask you to climb up on my knee.","Say, I didn't ask you to climb up on my knee."
这是朋友。 It's buddy.,It's Buddy.
"好吧,朋友。 Okay, buddy.","Okay, Buddy."
时间步长。 Time step.,Time step.
"我搞不清楚第一部分，从哪里开始... ... J""当...","I can't get that first part right, where it starts... 2 When..."
"j"" 我觉得这样很好。 I think it's great just that way.",I think it's great just that way.
是吗? 你知道些什么?,Yeah?
Yeah? What do you know about it?,What do you know about it?
"我知道我喜欢什么。 Well, I know the things that I like.","Well, I know the things that I like."
其中之一就是你的歌。 And one of them is your song.,And one of them is your song.
-天啊，是老板。 -继续，伙计。 太棒了,"- Geez, it's the boss."
"- Geez, it's the boss. - Go on, buddy.","- Go on, Buddy."
That's swell.,That's swell.
"天啊，老板来了。 Geez, it's the boss.","Geez, it's the boss."
有什么主意吗? 没人唱歌吗? 格洛丽亚在哪儿?,What's the idea?
What's the idea? Nobody's singing here?,Nobody's singing here?
Where's Gloria?,Where's Gloria?
"哎呀，她牙疼得厉害，不得不去看医生。 Why, she had a bad toothache and had to go to the doctor's.","Why, she had a bad toothache and had to go to the doctor's."
"我是说，那个牙医。 I mean, the dentist.","I mean, the dentist."
"哦,芭芭拉。 Oh, Barbara.","Oh, Barbara."
-是的，先生 -歌洛莉亚今天去哪了,"-Yes, sir."
"- Yes, sir. - Where's Gloria today?","""Where's Gloria today?"
嗯... 她祖母今天早上去世了。 Uh...,Uh...
Her grandmother died this morning.,Her grandmother died this morning.
她今天下午得去参加葬礼。 She had to go to the funeral this afternoon.,She had to go to the funeral this afternoon.
"她现在可以去参加自己的葬礼了。 Well, she can go to her own funeral now.","Well, she can go to her own funeral now."
我们会寄给她的。 We'll mail it to her.,We'll mail it to her.
"伙计，你听到他说什么了吗? Gee, buddy, did you hear what he said?","Gee, Buddy, did you hear what he said?"
我怕这种事会发生在歌洛莉亚身上。 I was afraid this was gonna happen to Gloria.,I was afraid this was gonna happen to Gloria.
我就知道她和那个米勒在一起的时间太多了。 I knew she was spending too much time with that Miller guy.,I knew she was spending too much time with that Miller guy.
拉克万纳 - 6100。 Lackawanna,Lackawanna-6100.
乐谱。 Sheet music.,Sheet music.
"你好,朋友吗? 嘿，伙计，振作起来。","Hello, Buddy?"
"Hello, buddy? Hey, buddy, brace yourself.","Hey, Buddy, brace yourself."
我有好消息要告诉你。 I've got some great news for you.,I've got some great news for you.
我们刚被预定了20周。 We've just been booked for 20 weeks.,We've just been booked for 20 weeks.
"-天啊，芭芭拉，他们成功了! 哦,太棒了! - Gee, Barbara, they made it!","- Gee, Barbara, they made it!"
"- Oh, great!","- Oh, great!"
但这是最棒的消息。 But this is the greatest news of all.,But this is the greatest news of all.
我们今晚8点出发前往西部。 We leave tonight at 8: 00 for the west.,We leave tonight at 8:00 for the West.
是的! Yes!,Yes!
"哎呀,朋友。 你不快乐吗?","Gee, Buddy."
"Gee, buddy. Aren't you happy?",Aren't you happy?
你是我告诉的第一个人。 And you're the first person I've told.,And you're the first person I've fold.
"我得赶紧收拾行李了，亲爱的。 你尽快过来吧。 I've got to run and pack now, dear.","I've got to run and pack now, dear."
Hurry over as soon as you can.,Hurry over as soon as you can.
我就会与你同在。 I'll be there.,I'll be there.
再见。 Goodbye.,Goodbye.
"天啊,那太好了。 Golly, that's wonderful.","Golly, that's wonderful."
太棒了。 Wonderful.,Wonderful.
关于芝加哥的第五和第七部分。 Sections 5 and 7 on the Chicago.,Sections 5 and 7 on the Chicago.
最好快点。 只有一分钟。,Better hurry.
Better hurry. Only got a minute.,Only got a minute.
他不在这里。 一定发生了什么事。,He isn't here.
He isn't here. Something must have happened.,Something must have happened.
"来吧,格洛丽亚。 我们只有一分钟时间。","Come on, Gloria."
"Come on, Gloria. We've only got a minute.",We've only got a minute.
板! Board!,Board!
芭芭拉。 请付钱，好吗?,Barbara.
"Barbara. Pay for this, will you, please?","Pay for this, will you, please?"
"哦,朋友! Oh, buddy!","Oh, Buddy!"
该死的。 Damn it.,Damn it.
你最好忘掉那个钢琴手。 You better get that piano player out of your mind.,You better get that piano player out of your mind.
他从没为你做过任何事。 He never did anything for you.,He never did anything for you.
它的什么? What of it?,What of it?
"现在,格洛丽亚。 以米勒先生为例。","Now, Gloria."
他的... ... 是的。,"For instance, take Mr. Miller."
"For instance, take Mr.",He's—- Yeah.
Miller. He's... Yeah.,You take him.
我现在好点了吗? 吃很多油腻的食物，一家又一家便宜的酒店，一天玩五个。,Am I any better off now?
"-你赚了很多钱。 -是啊，我懂很多。 - Well, you make a lot of money.","- ""Well, you make a lot of money."
"- Yeah, a lot of it I get.","- Yeah, a lot of it [ get."
"当然，你只会愚蠢地花钱。 Well, of course, you'd only spend it foolishly.","Well, of course, you'd only spend it foolishly."
-我给你留着。 -是的，我知道。 - I'm saving it for you.,- I'm saving it for you.
"- Yeah, I know.","- Yeah, I know."
在我为你做了这么多之后，非常感谢你。 A lot of thanks I get after all I've done for you.,A lot of thanks I get after all I've done for you.
我不是把你养大，给你当奴隶吗? Didn't I raise you and slave for you?,Didn't I raise you and slave for you?
工作到骨子里。 And worked my fingers to the bone.,And worked my fingers to the bone.
"我也知道这个古老的故事。 Yeah, I know that old story too.","Yeah, I know that old story too."
"哦，对不起，妈妈。 Oh, I'm sorry, ma.","Oh, I'm sorry, Ma."
我很感激你为我做的一切。 I appreciate everything you've done for me.,I appreciate everything you've done for me.
我会尽力忘记的，伙计。 I'll try my best to forget buddy.,I'll try my best to forget Buddy.
"噢,格洛丽亚,亲爱的。 Oh, Gloria, darling.","Oh, Gloria, darling."
"你一直都是个好女孩。 You always were a good, good girl.","You always were a good, good girl."
我得在药店关门前去一趟。 I've got to go to the drugstore before it closes.,I've got to go to the drugstore before it closes.
"现在快点,亲爱的。 你只有几分钟的时间。","Hurry now, dear."
"Hurry now, dear. You only have a few minutes.",You only have a few minutes.
"晚上好，米勒先生。 Good evening, Mr. Miller.","Good evening, Mr. Miller."
"哦，你好，休斯太太。 Oh, hello, Mrs. Hughes.","Oh, hello, Mrs. Hughes."
我在去药店的路上。 I'm on my way to the drugstore.,I'm on my way 10 the drugstore.
我能再给你拿些止痛片吗? Can I get you some more com plasters?,Can I get you some more corn plasters?
"不,谢谢,妈妈。 No, thanks, mother.","No, thanks, Mother."
我有足够的钱再走一千英里。 I've got enough to last me another thousand miles.,I've got enough to last me another thousand miles.
那个老女人烦死我了。 That old dame gets in my hair.,That old dame gets in my hair.
"当你忘记记得的时候 J"" when you forget to remember j""",2 When you forget to remember
你不敲门真是个奇迹。 it's a wonder you wouldn't knock.,It's a wonder you wouldn't knock.
啊哈。,Aha.
人们常说精神振奋比小睡更好。 Aha. It is often said a boost is better than a nap.,It is often said a boost is better than a nap.
"好吧，聪明的，你可以赶紧离开这里。 Well, smarty, you can just boost yourself right out of here.","Well, smarty, you can just boost yourself right out of here."
"现在,现在,华丽。 不要让暴力。 Now, now, gorgeous.","Now, now, gorgeous."
Don't get violent.,Don't get violent.
-拜托，我赶时间。 -看看那漂亮的嘴唇。,"- Please, I'm in a hurry."
"- Please, I'm in a hurry. - Just look at those pretty lips.",- Just look at those pretty lips.
来个吻怎么样? How about a little kiss?,How about a little kiss?
咬一小口怎么样? How about a little bite instead?,How about a little bite instead?
来吧。 别开玩笑了，好吗?,Come on.
"Come on. Cut out the wisecracking, will ya?","Cut out the wisecracking, will ya?"
我很喜欢你。 I like you a whole lot.,I like you a whole lot.
"好吧，就到这里吧。 Well, let it end there.","Well, let it end there."
但我做不到，宝贝。 我为你疯狂。,"But I can't, baby."
"But I can't, baby. I'm just nuts about you.",I'm just nuts about you.
"天啊，每次我看到你，我就发呆。 Gee, every time I look at you, I just go daffy.","Gee, every time I lock at you, I just go daffy."
——请。 我赶时间。,- Please.
-歌洛莉亚我为你疯狂 - Please.,I'm in a hurry.
